嗚呼	ああ
主任	しゅにん
首脳	しゅのう
守備	しゅび
手法	しゅほう
私有	しゆう
諸	しょ
背負う	しょう
象	しょう
症	しょう
傷	しょう
商	しょう
消去	しょうきょ
衝撃	しょうげき
証言	しょうげん
証拠	しょうこ
消耗	しょうこう
照合	しょうごう
詳細	しょうさい
昇進	しょうしん
少数	しょうすう
称する	しょうする
消息	しょうそく
承諾	しょうだく
象徴	しょうちょう
小児科	しょうにか
証人	しょうにん
照明	しょうめい
勝利	しょうり
奨励	しょうれい
職員	しょくいん
植民地	しょくみんち
職務	しょくむ
諸君	しょくん
所在	しょざい
所々	しょしょ
所持	しょじ
所属	しょぞく
処置	しょち
	しょっちゅう
所定	しょてい
所得	しょとく
初版	しょはん
処罰	しょばつ
書評	しょひょう
処分	しょぶん
庶民	しょみん
庶務	しょむ
私用	しよう
仕様	しよう
使用人	しようにん
調べ	しらべ
知り合い	しりあい
退く	しりぞく
退ける	しりぞける
記す	しるす
指令	しれい
代	しろ
皺	しわ
新	しん
進化	しんか
殿	しんがり
審議	しんぎ
進行	しんこう
新興	しんこう
振興	しんこう
申告	しんこく
新婚	しんこん
審査	しんさ
紳士	しんし
進出	しんしゅつ
信者	しんじゃ
真珠	しんじゅ
心中	しんじゅう
心情	しんじょう
新人	しんじん
神聖	しんせい
親善	しんぜん
真相	しんそう
新築	しんちく
進呈	しんてい
進展	しんてん
神殿	しんでん
進度	しんど
振動	しんどう
新入生	しんにゅうせい
信任	しんにん
審判	しんばん
神秘	しんぴ
辛抱	しんぼう
真理	しんり
侵略	しんりゃく
診療	しんりょう
進路	しんろ
自覚	じかく
地方	じかた
自我	じが
磁気	じき
磁器	じき
事業	じぎょう
地形	じぎょう
軸	じく
自己	じこ
事項	じこう
時刻表	じこくひょう
地獄	じごく
時差	じさ
自在	じざい
自主	じしゅ
自首	じしゅ
辞職	じしょく
自信	じしん
事前	じぜん
自尊心	じそんしん
持続	じぞく
字体	じたい
辞退	じたい
	じっくり
実質	じっしつ
実践	じっせん
実態	じったい
実費	じっぴ
十分	じっぷん
実	じつ
実業家	じつぎょうか
実情	じつじょう
自転	じてん
自動詞	じどうし
地主	じぬし
耳鼻科	じびか
地元	じもと
弱	じゃく
若干	じゃっかん
砂利	じゃり
じゃん拳	じゃんけん
住	じゅう
従業員	じゅうぎょういん
従事	じゅうじ
充実	じゅうじつ
十字路	じゅうじろ
絨毯	じゅうたん
柔軟	じゅうなん
重複	じゅうふく
重宝	じゅうほう
従来	じゅうらい
塾	じゅく
樹木	じゅもく
樹立	じゅりつ
準急	じゅんきゅう
準じる	じゅんじる
準ずる	じゅんずる
助	じょ
情	じょう
畳	じょう
尉	じょう
嬢	じょう
状	じょう
上位	じょうい
上演	じょうえん
城下	じょうか
乗客	じょうかく
上空	じょうくう
上司	じょうし
